rank,priority,score,name,category,rating,phone,channel,demo_url,address
132,later,15.9,Vet,veterinarians,4.3 (9),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/vet.html,NW 34th Blvd
133,later,15.73,Church's Plumbing Inc,plumbers,3.2 (5),(352) 372-4678,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/church-s-plumbing-inc.html,"4415 SW 35th Terrace, Gainesville, FL 32608"
134,later,15.58,Time Connection,jewelers,2.5 (30),(352) 372-6224,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/time-connection.html,"403 NE 23rd Ave, Gainesville, FL 32609"
135,later,15.53,Tower Square Cleaners,dry cleaners,4.2 (5),(352) 377-0865,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/tower-square-cleaners.html,5737 SW 75th St
136,later,14.96,Liatris Tattoo,tattoo shops,5.0 (5),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/liatris-tattoo.html,"1002 NW 2nd St a5, Gainesville, FL 32601"
137,later,14.93,Kim's Signature Beauty and Accessories,clothing boutiques,5.0 (3),(352) 213-0080,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/kim-s-signature-beauty-and-accessories.html,"806 NW 16th Ave Unit 257, Gainesville, FL 32601"
138,later,14.85,Wilhelmina Johnson Resource,dance studios,3.5 (2),(352) 372-0216,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/wilhelmina-johnson-resource.html,321 NW 10th St
139,later,14.47,"Mink & Agarwal, pllc",accountants,5.0 (1),(352) 246-8679,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/mink-agarwal-pllc.html,5200 Newberry Rd # D4
140,later,14.47,Elevated Inkness,tattoo shops,5.0 (1),(352) 617-9836,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/elevated-inkness.html,"123 N Main St, Gainesville, FL 32601"
141,later,14.47,Yoga For All,gyms,5.0 (1),(352) 256-2172,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/yoga-for-all.html,"7731 W Newberry Rd # A2, Gainesville, FL 32606"
142,later,14.2,Quality Cleaners,dry cleaners,3.0 (29),(352) 338-9920,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/quality-cleaners.html,5200 NW 43rd St #101
143,later,14.03,La Chua Vintage,clothing boutiques,4.3 (12),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/la-chua-vintage.html,"2029 NW 6th St, Gainesville, FL 32609"
144,later,14.0,Dan Kays Auto Repair,auto repair,4.8 (based on reviews),(352) 371-3888,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/dan-kays-auto-repair.html,"1124 SE 4th St, Gainesville, FL"
145,later,14.0,Tommy's Autoworks,auto repair,4.6 (based on reviews),(352) 577-9502,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/tommy-s-autoworks.html,"125 NE 23rd Ave Ste D, Gainesville, FL"
146,later,14.0,Dad's Auto Repair,auto repair,4.7 (based on reviews),(352) 727-7849,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/dad-s-auto-repair.html,"2014 NE 23rd Ave, Gainesville, FL"
147,later,14.0,Tire Depot,tire shops,4.4 (stars),(352) 256-3371,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/tire-depot.html,1700 N Main St
148,later,14.0,Sam's Tires Of Gainesville,tire shops,4.7 (stars),(352) 327-2026,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/sam-s-tires-of-gainesville.html,4500 NW 6th St
149,later,14.0,Cato's Tires,tire shops,4.9 (stars),(352) 874-2286,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/cato-s-tires.html,4551 NW 6th St
150,later,14.0,Low Cost Tires LLC,tire shops,4.5 (stars),(352) 338-1002,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/low-cost-tires-llc.html,1409 S Main St
151,later,14.0,"Dale's Tire, Inc.",tire shops,4.8 (stars),(352) 377-9590,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/dale-s-tire-inc.html,2928 NE 21 Way
152,later,14.0,Advanced Tire Service,tire shops,4.2 (stars),(352) 559-0708,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/advanced-tire-service.html,912 N Main St
153,later,14.0,Theos Lawn Maintenance,landscapers,"4.9 (reviews count not explicitly shown in list view, but rating is visible)",(352) 682-6898,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/theos-lawn-maintenance.html,"3118 NE 13th St, Gainesville, FL"
154,later,14.0,GV Lawn Care Services,landscapers,No reviews,(352) 225-6723,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gv-lawn-care-services.html,"445 NW 27th Ave, Gainesville, FL"
155,later,14.0,Gourmet Landscaping Services Inc,landscapers,"4.8 (rating visible, review count not explicitly shown in list view)",(954) 934-7978,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gourmet-landscaping-services-inc.html,"Gainesville, FL"
156,later,14.0,All Florida Electric Co Inc,electricians,4.7,(352) 378-6014,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/all-florida-electric-co-inc.html,2606 NE 17th Ter
157,later,14.0,Kennedy Electric,electricians,4.2,(352) 375-0739,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/kennedy-electric.html,2306 NW 71st Pl
158,later,14.0,Keough Electric,electricians,4.8,(352) 363-4078,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/keough-electric.html,4824 SW 57th Dr
159,later,14.0,Manny's Electric,electricians,4.9,(352) 514-2035,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/manny-s-electric.html,11032 NW 60 Terrace
160,later,14.0,Shockwave Electricians,electricians,4.7 (15 Reviews),(352) 218-7153,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/shockwave-electricians.html,321 SW 13th St Fl 2
161,later,14.0,"Troy's Electric Repair, LLC",electricians,4.6 (34 Reviews),(352) 258-9021,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/troy-s-electric-repair-llc.html,3626 NW 97th Blvd
162,later,14.0,Gainesville Electric,electricians,No reviews,(352) 373-3137,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gainesville-electric.html,2386 NE 18th Ter
163,later,14.0,Gainesville Lawn Care,lawn care,4.0,(352) 871-9880,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gainesville-lawn-care.html,2717 SW 98th Dr
164,later,14.0,Hammer Down Lawn Care,lawn care,5.0,(954) 663-6156,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/hammer-down-lawn-care.html,3431 NW 67th Ave
165,later,14.0,iLawn & Landscaping,lawn care,5.0,(352) 415-3340,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/ilawn-landscaping.html,3633 NW 30th Pl
166,later,14.0,GV Lawn Care Services,lawn care,No reviews,(352) 225-6723,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gv-lawn-care-services.html,445 NW 27th Ave
167,later,14.0,Square Yard Landscaping,lawn care,No reviews,(352) 251-9418,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/square-yard-landscaping.html,4102 NW 21st Dr
168,later,14.0,S & S Cleaners,cleaning services,4.4,(352) 372-4184,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/s-s-cleaners.html,"503 SW 3rd St, Gainesville, FL"
169,later,14.0,Gator Painters,painters,4.9 (not specified),(352) 214-6317,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gator-painters.html,"Gainesville, FL"
170,later,14.0,A Plus Painting and Repair,painters,5.0 (not specified),(352) 665-8022,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/a-plus-painting-and-repair.html,"3525 SW 31st Dr #8A, Gainesville, FL"
171,later,14.0,Orange and Blue Painting,painters,4.9 (not specified),(352) 593-1888,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/orange-and-blue-painting.html,"1123 NE 20th Ave, Gainesville, FL"
172,later,14.0,Sunshine Professional Painters,painters,No reviews,(352) 448-0077,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/sunshine-professional-painters.html,"719 NW 31st Ave, Gainesville, FL"
173,later,14.0,Gainesville Painters Pro,painters,No reviews,(352) 900-3455,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gainesville-painters-pro.html,"SW Williston Rd Apt. 3015, Gainesville, FL"
174,later,14.0,Grand HVAC Repair Gainesville,hvac,No reviews,(352) 772-2154,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/grand-hvac-repair-gainesville.html,816 SE 4th Ave
175,later,14.0,DIY Jeff Gainesville,handyman,5.0,(904) 452-1209,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/diy-jeff-gainesville.html,3515 NW 39th Ln
176,later,14.0,Old Fashioned Handyman Service of Gainesville,handyman,5.0,(352) 792-8004,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/old-fashioned-handyman-service-of-gainesville.html,1801 NE 23rd Ave
177,later,14.0,Gainesville Handyman Services,handyman,No reviews,(904) 944-6505,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gainesville-handyman-services.html,
178,later,14.0,HandyMate,handyman,5.0,(352) 794-1313,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/handymate.html,5510 SW 41st Blvd #101
179,later,14.0,Handyman of gainesville florida,handyman,No reviews,(386) 287-1535,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/handyman-of-gainesville-florida.html,
180,later,14.0,Manar Home Services,handyman,No reviews,(352) 646-2627,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/manar-home-services.html,7648 SW 25th Ave
181,later,14.0,Honey & Hearth Professional Services,handyman,No reviews,(352) 269-4024,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/honey-hearth-professional-services.html,1035 SW 60 Terrace
182,later,14.0,352's Trusted Roofing & Gutters,roofers,4.9 stars,(352) 658-7237,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/352-s-trusted-roofing-gutters.html,103 NE 23rd Ave
183,later,14.0,Ferber And O'Steen Roofing & Sheet Metal Contractors,roofers,No reviews,(352) 372-3666,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/ferber-and-o-steen-roofing-sheet-metal-contractors.html,1614 NW 4th St
184,later,14.0,Interior Exterior Building Supply,roofers,4.7 stars (34),(352) 244-9004,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/interior-exterior-building-supply.html,5440 NW 13th St
185,later,14.0,"BECT Attic Insulation & Roofing Services Inc , FL",roofers,4.0 stars (8),(352) 352-3257,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/bect-attic-insulation-roofing-services-inc-fl.html,4460 SW 35th Terrace
186,later,14.0,Carters Construction,contractors,,(352) 260-6919,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/carters-construction.html,3499 NW 97th Blvd #9
187,later,14.0,Leja Construction Inc,contractors,,(352) 378-2104,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/leja-construction-inc.html,3845 NW 37th Pl
188,later,14.0,FERRER General Contractors LLC,contractors,,(954) 383-6565,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/ferrer-general-contractors-llc.html,8 SW 79th Dr
189,later,14.0,Critter-Free Solutions,pest control,4.1 (No review count shown),(352) 580-9170,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/critter-free-solutions.html,"22d SE 5th Ave, Gainesville, FL 32601"
190,later,13.56,Kelly's Kwik Stop,convenience stores,4.0 (13),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/kelly-s-kwik-stop.html,SW 34th St
191,later,12.98,Outreach Clothing & More Center,clothing boutiques,3.6 (15),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/outreach-clothing-more-center.html,"2430 NW 6th St, Gainesville, FL 32609"
192,later,12.73,Quick Mart (N Main St),convenience stores,5.0 (6),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/quick-mart-n-main-st.html,809 N Main St
193,later,12.39,Gainesville Dance,dance studios,2.0 (1),(352) 327-3672,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gainesville-dance.html,3830 NW 16th Blvd
194,later,11.49,University of Florida - Cuong Nhu Cypress Dojo,martial arts,5.0 (2),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/university-of-florida-cuong-nhu-cypress-dojo.html,"Gainesville, FL"
195,later,11.47,T-Desk Designs,clothing boutiques,5.0 (1),(352) 575-5525,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/t-desk-designs.html,"3203 NW 4th St, Gainesville, FL 32609"
196,later,11.37,X Tra Beverage Discount Store,convenience stores,3.2 (9),(352) 372-4114,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/x-tra-beverage-discount-store.html,119 NE 16th Ave
197,later,11.3,West Neighhour,convenience stores,3.0 (2),(352) 333-0533,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/west-neighhour.html,7114 W University Ave
198,later,11.0,Sun Fresh Style,hair salons,4.8 (based on reviews),(352) 278-2973,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/sun-fresh-style.html,"1829 SW 13th St, Gainesville, FL 32608"
199,later,11.0,Elemental Salon,hair salons,5.0 (based on reviews),(954) 675-5534,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/elemental-salon.html,"490 NW 60th St #21, Gainesville, FL 32607"
200,later,11.0,Total Image Salon,hair salons,4.2 (187 reviews),(352) 373-5055,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/total-image-salon.html,"115 NW 3rd St, Gainesville, FL 32601"
201,later,11.0,Joy And Beauty,hair salons,,(352) 215-3278,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/joy-and-beauty.html,"1020 NW 23rd Ave Suite D, Gainesville, FL 32609"
202,later,11.0,Oasis Car Wash,car wash,3.9 stars,(352) 378-7195,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/oasis-car-wash.html,402 NW 39th Ave
203,later,11.0,Car Wash (NW 43rd St),car wash,4.6 stars,(352) 377-4355,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/car-wash-nw-43rd-st.html,5221 NW 43rd St
204,later,11.0,Brighton Beach Car Wash,car wash,4.1 stars,(352) 262-5980,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/brighton-beach-car-wash.html,11202 NW US Hwy 441
205,later,11.0,Car Wash (NW 13th St),car wash,No reviews,(352) 378-7195,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/car-wash-nw-13th-st.html,3831 NW 13th St
206,later,11.0,SJ Luxury Details,car wash,4.4 stars (7 Reviews),(754) 284-9793,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/sj-luxury-details.html,205 SE 16th Ave Apt 33X
207,later,11.0,Main Street Detailing,car wash,4.1 stars (20 Reviews),(352) 375-4474,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/main-street-detailing.html,1025 N Main St A
208,later,11.0,Marathon Car Wash,car wash,2.7 stars (3 Reviews),(352) 378-7195,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/marathon-car-wash.html,3423 SW Williston Rd
209,later,11.0,Sowell Wash & Wax,car wash,4.6 stars (11 Reviews),(352) 278-0565,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/sowell-wash-wax.html,1954 N Main St #2
210,later,11.0,Anymeanz Detailing,car wash,4.9 stars (82 Reviews),(352) 361-6810,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/anymeanz-detailing.html,1106 SE 3rd Ave
211,later,11.0,Love N Care Christian Learning Center,daycares,"4.6 (reviews not visible in text snippet, but star rating is 4.6)",(352) 378-5190,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/love-n-care-christian-learning-center.html,1001 NE 16th Ave
212,later,11.0,A World of Angels,daycares,5.0 (reviews not visible),(352) 381-0080,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/a-world-of-angels.html,1119 NW 42nd Ave
213,later,11.0,Gainesville Tango Exchange,dance studios,No reviews,(862) 208-2646,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gainesville-tango-exchange.html,720 NW 23rd Ave
214,later,11.0,Gainesville CPA,accountants,No reviews,(352) 377-3000,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gainesville-cpa.html,726 NW 8th Ave
215,later,11.0,Richardson & Ellison: Berryhill Steven J CPA,accountants,No reviews,(352) 376-4434,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/richardson-ellison-berryhill-steven-j-cpa.html,1208 NW 6th St B
216,later,11.0,Emerald Scarab Tattoo Parlor,tattoo shops,No reviews,(301) 800-2815,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/emerald-scarab-tattoo-parlor.html,"903 NW 6th St, Gainesville, FL 32601"
217,later,11.0,Prestige Jeweler,jewelers,4.6,(352) 332-3427,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/prestige-jeweler.html,"2725 SW 91st St #110, Gainesville, FL 32608"
218,later,9.72,A-Best Coin Laundry & Dry,dry cleaners,2.8 (45),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/a-best-coin-laundry-dry.html,2411 SW 13th St
219,later,9.45,University City Title LLC,notary,2.8 (6),(352) 316-4214,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/university-city-title-llc.html,"309 NE 1st St, Gainesville, FL"
220,later,9.0,Splee,cleaning services,4.9,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/splee.html,"4647 NW 6th St suite j, Gainesville, FL"
221,later,9.0,C-Mac HandyMan,handyman,5.0,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/c-mac-handyman.html,1700 SW 16th Ct
222,later,8.83,Mallard's Upholstery,upholstery,3.0 (4),(352) 376-3718,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/mallard-s-upholstery.html,"1801 NE 23rd Ave, Gainesville, FL"
223,later,8.49,Quick Mart (W University Ave),convenience stores,5.0 (2),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/quick-mart-w-university-ave.html,1800 W University Ave #120
224,later,8.0,Tower Laundromat,laundromats,4.4,(352) 451-4393,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/tower-laundromat.html,"600 NW 75th St Ste A, Gainesville, FL"
225,later,8.0,Señor Bubbles Laundromat,laundromats,4.5,(352) 810-4080,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/se-or-bubbles-laundromat.html,"4080 SW 24th Ave, Gainesville, FL"
226,later,8.0,Wash King,laundromats,3.3,(352) 872-3856,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/wash-king.html,"210 NE 16th Ave, Gainesville, FL"
227,later,8.0,Don's Coin Laundry,laundromats,3.4,(352) 376-6997,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/don-s-coin-laundry.html,"5001 NW 34th Blvd A, Gainesville, FL"
228,later,8.0,Prins Commercial Laundry Equipment,laundromats,4.0,(352) 377-6827,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/prins-commercial-laundry-equipment.html,"3008 NE 19th Dr, Gainesville, FL"
229,later,8.0,Precious Emeralds Boutique,clothing boutiques,No reviews,(352) 888-7750,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/precious-emeralds-boutique.html,"901 NW 8th Ave Suite B5-2, Gainesville, FL 32601"
230,later,8.0,TeeTok Supply,clothing boutiques,No reviews,(207) 551-9593,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/teetok-supply.html,"1642 W University Ave, Gainesville, FL 32603"
231,later,8.0,Zeezenia International Market,grocery stores,4.6 (Visible),(352) 371-3311,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/zeezenia-international-market.html,"2325 SW 13th St, Gainesville, FL 32608"
232,later,8.0,Stelle's Mobile Notary Services,notary,5.0,(352) 792-3801,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/stelle-s-mobile-notary-services.html,"152 Castle Dr, Gainesville, FL"
233,later,8.0,Here For You Mobile Notary Service,notary,5.0,(352) 262-7391,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/here-for-you-mobile-notary-service.html,"Gainesville, FL"
234,later,8.0,L Yvonne Notary Services LLC,notary,5.0,(352) 663-3567,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/l-yvonne-notary-services-llc.html,"2153 SE Hawthorne Rd #211-F, Gainesville, FL"
235,later,8.0,Paul's Upholstery,upholstery,5.0,(352) 378-0535,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/paul-s-upholstery.html,"5230 SW 56th Terrace, Gainesville, FL"
236,later,8.0,Clear Image Signs,print shops,3.7 stars (unknown review count),(352) 872-5737,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/clear-image-signs.html,1901 NW 67th Pl unit a
237,later,8.0,Flair Pro Color Lab,print shops,3.5 stars (2 Reviews),(352) 336-4008,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/flair-pro-color-lab.html,519 SW 60th Rd
238,later,8.0,Michelle's Print Studio,print shops,No reviews,(954) 708-6527,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/michelle-s-print-studio.html,4002 NW 8th Ave
239,later,8.0,Invo Inc,print shops,5.0 stars (1 Reviews),(352) 375-4330,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/invo-inc.html,4010 Newberry Rd Ste A
240,later,8.0,Best Brand Solutions,print shops,5.0 stars (6 Reviews),(352) 231-4814,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/best-brand-solutions.html,747 SW 2nd Ave Suite 170
241,later,6.47,The Corner Store,convenience stores,5.0 (1),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/the-corner-store.html,1115 N Main St
242,later,6.3,Simply Fashion,clothing boutiques,3.0 (2),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/simply-fashion.html,"1208 N Main St, Gainesville, FL 32601"
243,later,6.0,gville sweets,bakeries,5.0 (visible stars),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/gville-sweets.html,"211 SW 4th Ave Ste 6, Gainesville, FL 32601"
244,later,6.0,Cutz by Dray,hair salons,,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/cutz-by-dray.html,"1411 NW 6th St, Ste 120, Gainesville, FL 32601"
245,later,6.0,P.First,hair salons,,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/p-first.html,"3004 NE 10th St, Gainesville, FL 32609"
246,later,6.0,Immaculate Conceptions,hair salons,,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/immaculate-conceptions.html,"4101 NE 2nd Way, Gainesville, FL 32609"
247,later,6.0,Paper Cuts Barbershop,hair salons,,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/paper-cuts-barbershop.html,"1371 SE 22nd Ave, Gainesville, FL 32641"
248,later,6.0,Loc'd Down By Toya,hair salons,,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/loc-d-down-by-toya.html,"1020 NW 23rd Ave, Unit C, Gainesville, FL 32609"
249,later,6.0,Miraculously Loc,hair salons,,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/miraculously-loc.html,"1109 NW 13th St, Suite H, Gainesville, FL 32601"
250,later,3.0,Laundromat,laundromats,No reviews,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/laundromat.html,"1888 SW 42nd Dr, Gainesville, FL"
251,later,3.0,DJ Coin Laundry,laundromats,2.2,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/dj-coin-laundry.html,"SE Hawthorne Rd, Gainesville, FL"
252,later,3.0,A-Best Coin Laundry & Dry,laundromats,2.8,,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/a-best-coin-laundry-dry.html,"2411 SW 13th St, Gainesville, FL"
